Polo,Nota/AC
brasilia,43
brasilia,39
brasilia,42
brasilia,39
brasilia,40
brasilia,44
brasilia,38
brasilia,44
brasilia,43
brasilia,38
brasilia,37
brasilia,49
brasilia,39
brasilia,39
brasilia,42
brasilia,36
brasilia,39
brasilia,41
brasilia,41
brasilia,40
brasilia,48
brasilia,38
brasilia,42
brasilia,40
brasilia,45
brasilia,44
brasilia,42
brasilia,42
brasilia,37
brasilia,40
brasilia,44
brasilia,38
brasilia,45
brasilia,37
brasilia,46
brasilia,47
brasilia,44
brasilia,44
brasilia,41
brasilia,45
brasilia,40
brasilia,36
brasilia,37
brasilia,44
brasilia,37
brasilia,40
brasilia,43
brasilia,38
brasilia,39
brasilia,40
brasilia,41
brasilia,37
brasilia,36
brasilia,38
brasilia,37
brasilia,41
brasilia,38
brasilia,42
brasilia,36
brasilia,40
brasilia,40
brasilia,47
brasilia,45
brasilia,42
brasilia,38
brasilia,43
brasilia,46
brasilia,42
brasilia,37
brasilia,36
brasilia,37
brasilia,36
brasilia,42
brasilia,37
brasilia,39
brasilia,41
brasilia,37
brasilia,37
brasilia,39
brasilia,41
brasilia,40
brasilia,36
brasilia,39
brasilia,38
brasilia,50
brasilia,41
brasilia,37
brasilia,51
brasilia,40
brasilia,41
brasilia,38
brasilia,36
brasilia,49
brasilia,41
brasilia,43
brasilia,48
brasilia,39
brasilia,42
brasilia,40
brasilia,39
brasilia,38
brasilia,41
brasilia,40
brasilia,40
brasilia,37
brasilia,43
brasilia,41
brasilia,41
brasilia,37
brasilia,40
brasilia,38
brasilia,40
brasilia,38
brasilia,39
brasilia,44
brasilia,37
brasilia,36
brasilia,36
brasilia,38
brasilia,47
brasilia,39
belohorizonte,43
belohorizonte,39
belohorizonte,45
belohorizonte,49
belohorizonte,39
belohorizonte,42
belohorizonte,48
belohorizonte,41
belohorizonte,39
belohorizonte,40
belohorizonte,40
belohorizonte,39
belohorizonte,44
belohorizonte,39
belohorizonte,40
belohorizonte,39
belohorizonte,44
belohorizonte,44
belohorizonte,40
belohorizonte,49
belohorizonte,47
belohorizonte,40
belohorizonte,42
belohorizonte,43
belohorizonte,46
belohorizonte,42
belohorizonte,40
belohorizonte,40
belohorizonte,41
belohorizonte,44
belohorizonte,41
belohorizonte,41
belohorizonte,39
belohorizonte,49
belohorizonte,40
belohorizonte,40
belohorizonte,44
belohorizonte,44
belohorizonte,41
belohorizonte,40
belohorizonte,40
belohorizonte,42
belohorizonte,43
belohorizonte,40
belohorizonte,40
belohorizonte,41
belohorizonte,39
belohorizonte,45
belohorizonte,40
belohorizonte,44
belohorizonte,45
belohorizonte,41
belohorizonte,43
belohorizonte,49
belohorizonte,43
belohorizonte,42
belohorizonte,40
manaus,33
manaus,33
manaus,32
manaus,32
manaus,42
manaus,38
manaus,37
manaus,43
manaus,36
manaus,37
manaus,34
manaus,45
manaus,40
manaus,37
manaus,35
manaus,34
manaus,37
manaus,40
manaus,33
manaus,39
manaus,36
manaus,35
manaus,40
manaus,37
manaus,41
manaus,37
manaus,42
manaus,38
manaus,39
manaus,37
manaus,38
manaus,34
manaus,34
manaus,35
manaus,33
manaus,37
goiania,40
goiania,44
goiania,41
goiania,37
goiania,38
goiania,38
goiania,40
goiania,35
goiania,42
goiania,42
goiania,38
goiania,37
goiania,48
goiania,37
goiania,47
goiania,40
goiania,38
goiania,40
goiania,41
goiania,39
goiania,37
goiania,43
goiania,44
goiania,37
goiania,43
goiania,39
goiania,42
goiania,36
goiania,36
goiania,41
goiania,37
goiania,44
goiania,35
goiania,38
goiania,40
goiania,37
goiania,39
goiania,39
goiania,37
goiania,44
goiania,40
saopaulo,43
saopaulo,38
saopaulo,46
saopaulo,39
saopaulo,40
saopaulo,38
saopaulo,37
saopaulo,38
saopaulo,36
saopaulo,37
saopaulo,42
saopaulo,39
saopaulo,42
saopaulo,35
saopaulo,41
saopaulo,42
saopaulo,35
saopaulo,38
saopaulo,38
saopaulo,41
saopaulo,36
saopaulo,41
saopaulo,38
saopaulo,38
saopaulo,37
saopaulo,40
saopaulo,43
saopaulo,36
saopaulo,37
saopaulo,37
saopaulo,42
saopaulo,37
saopaulo,40
saopaulo,42
saopaulo,41
saopaulo,36
saopaulo,40
saopaulo,36
saopaulo,44
saopaulo,41
saopaulo,39
saopaulo,40
saopaulo,37
saopaulo,39
saopaulo,38
saopaulo,40
saopaulo,37
saopaulo,35
saopaulo,41
saopaulo,38
saopaulo,37
saopaulo,36
saopaulo,35
saopaulo,48
saopaulo,41
saopaulo,35
saopaulo,37
saopaulo,37
saopaulo,42
saopaulo,42
saopaulo,40
saopaulo,36
saopaulo,38
saopaulo,39
saopaulo,45
saopaulo,36
saopaulo,43
saopaulo,38
saopaulo,49
saopaulo,48
saopaulo,45
saopaulo,39
saopaulo,39
saopaulo,39
saopaulo,41
saopaulo,39
saopaulo,41
saopaulo,40
saopaulo,41
saopaulo,41
saopaulo,38
saopaulo,42
saopaulo,38
saopaulo,42
saopaulo,38
saopaulo,44
saopaulo,38
saopaulo,37
saopaulo,41
saopaulo,41
saopaulo,43
saopaulo,41
saopaulo,38
saopaulo,36
saopaulo,43
saopaulo,35
saopaulo,38
saopaulo,42
saopaulo,39
saopaulo,37
saopaulo,37
saopaulo,40
saopaulo,36
saopaulo,36
saopaulo,40
saopaulo,40
saopaulo,40
saopaulo,44
saopaulo,41
saopaulo,37
saopaulo,36
saopaulo,38
saopaulo,36
saopaulo,40
saopaulo,41
saopaulo,47
saopaulo,42
saopaulo,50
saopaulo,38
saopaulo,39
saopaulo,38
saopaulo,38
saopaulo,37
saopaulo,40
saopaulo,41
saopaulo,35
saopaulo,36
saopaulo,40
saopaulo,37
saopaulo,38
saopaulo,44
saopaulo,41
saopaulo,39
saopaulo,39
saopaulo,46
saopaulo,42
saopaulo,42
saopaulo,43
saopaulo,35
saopaulo,38
saopaulo,39
saopaulo,36
saopaulo,39
saopaulo,42
saopaulo,35
saopaulo,35
saopaulo,39
saopaulo,37
saopaulo,40
saopaulo,37
saopaulo,38
saopaulo,46
saopaulo,47
saopaulo,43
saopaulo,37
saopaulo,42
saopaulo,49
saopaulo,36
saopaulo,41
saopaulo,37
saopaulo,42
saopaulo,39
saopaulo,42
saopaulo,42
saopaulo,35
saopaulo,40
saopaulo,40
saopaulo,44
saopaulo,37
saopaulo,42
saopaulo,44
saopaulo,48
saopaulo,44
saopaulo,42
saopaulo,39
saopaulo,41
saopaulo,41
saopaulo,37
saopaulo,38
saopaulo,40
saopaulo,40
saopaulo,40
saopaulo,43
saopaulo,38
saopaulo,39
saopaulo,39
saopaulo,46
saopaulo,40
saopaulo,42
saopaulo,39
saopaulo,40
saopaulo,42
saopaulo,37
saopaulo,44
saopaulo,41
saopaulo,41
saopaulo,37
saopaulo,45
saopaulo,39
saopaulo,42
saopaulo,39
saopaulo,50
saopaulo,39
saopaulo,36
saopaulo,37
saopaulo,37
saopaulo,38
saopaulo,41
saopaulo,38
saopaulo,39
saopaulo,37
saopaulo,37
saopaulo,36
saopaulo,41
saopaulo,40
saopaulo,37
saopaulo,43
saopaulo,42
saopaulo,38
saopaulo,38
saopaulo,35
saopaulo,40
saopaulo,40
saopaulo,43
saopaulo,42
saopaulo,37
saopaulo,37
saopaulo,43
saopaulo,37
saopaulo,38
saopaulo,43
saopaulo,38
saopaulo,48
saopaulo,35
saopaulo,45
saopaulo,45
saopaulo,39
saopaulo,40
saopaulo,51
saopaulo,37
saopaulo,43
saopaulo,35
saopaulo,36
saopaulo,45
saopaulo,38
saopaulo,38
saopaulo,36
saopaulo,39
saopaulo,36
saopaulo,43
saopaulo,38
saopaulo,39
saopaulo,37
saopaulo,39
saopaulo,41
saopaulo,36
saopaulo,39
saopaulo,40
saopaulo,40
saopaulo,43
saopaulo,50
saopaulo,37
saopaulo,39
saopaulo,48
saopaulo,36
saopaulo,36
saopaulo,36
saopaulo,38
saopaulo,36
riodejaneiro,37
riodejaneiro,40
riodejaneiro,37
riodejaneiro,34
riodejaneiro,40
riodejaneiro,37
riodejaneiro,42
riodejaneiro,41
riodejaneiro,37
riodejaneiro,39
riodejaneiro,43
riodejaneiro,43
riodejaneiro,40
riodejaneiro,33
riodejaneiro,44
riodejaneiro,44
riodejaneiro,32
riodejaneiro,34
riodejaneiro,36
riodejaneiro,43
riodejaneiro,35
riodejaneiro,38
riodejaneiro,34
riodejaneiro,45
riodejaneiro,34
riodejaneiro,41
riodejaneiro,43
riodejaneiro,34
riodejaneiro,36
riodejaneiro,38
riodejaneiro,44
riodejaneiro,34
riodejaneiro,47
riodejaneiro,34
riodejaneiro,34
riodejaneiro,45
riodejaneiro,39
riodejaneiro,37
riodejaneiro,38
riodejaneiro,36
riodejaneiro,34
riodejaneiro,39
riodejaneiro,33
riodejaneiro,32
riodejaneiro,38
riodejaneiro,40
riodejaneiro,36
riodejaneiro,37
riodejaneiro,41
riodejaneiro,32
riodejaneiro,36
riodejaneiro,33
riodejaneiro,39
riodejaneiro,32
riodejaneiro,36
riodejaneiro,42
riodejaneiro,32
riodejaneiro,41
riodejaneiro,39
riodejaneiro,35
riodejaneiro,37
riodejaneiro,41
riodejaneiro,38
riodejaneiro,35
riodejaneiro,32
riodejaneiro,40
riodejaneiro,44
riodejaneiro,35
riodejaneiro,43
riodejaneiro,41
riodejaneiro,34
riodejaneiro,37
riodejaneiro,42
riodejaneiro,38
riodejaneiro,45
riodejaneiro,37
riodejaneiro,43
riodejaneiro,33
riodejaneiro,45
riodejaneiro,33
riodejaneiro,34
riodejaneiro,41
riodejaneiro,44
riodejaneiro,33
riodejaneiro,35
riodejaneiro,39
riodejaneiro,36
riodejaneiro,40
riodejaneiro,38
riodejaneiro,49
riodejaneiro,37
riodejaneiro,35
riodejaneiro,47
riodejaneiro,43
riodejaneiro,39
riodejaneiro,38
riodejaneiro,32
riodejaneiro,38
riodejaneiro,43
riodejaneiro,41
riodejaneiro,40
riodejaneiro,42
riodejaneiro,39
riodejaneiro,36
riodejaneiro,35
riodejaneiro,32
riodejaneiro,37
riodejaneiro,37
riodejaneiro,38
riodejaneiro,36
riodejaneiro,33
riodejaneiro,36
riodejaneiro,44
riodejaneiro,36
riodejaneiro,44
riodejaneiro,35
riodejaneiro,40
riodejaneiro,41
riodejaneiro,40
riodejaneiro,34
riodejaneiro,35
riodejaneiro,34
riodejaneiro,35
riodejaneiro,44
riodejaneiro,31
riodejaneiro,44
riodejaneiro,34
riodejaneiro,38
riodejaneiro,44
riodejaneiro,45
riodejaneiro,34
riodejaneiro,43
riodejaneiro,42
riodejaneiro,39
riodejaneiro,39
riodejaneiro,34
riodejaneiro,42
riodejaneiro,41
riodejaneiro,37
riodejaneiro,38
riodejaneiro,38
riodejaneiro,44
riodejaneiro,33
riodejaneiro,31
riodejaneiro,33
riodejaneiro,35
riodejaneiro,44
riodejaneiro,34
riodejaneiro,37
riodejaneiro,41
riodejaneiro,34
riodejaneiro,37
riodejaneiro,43
riodejaneiro,37
riodejaneiro,38
riodejaneiro,46
riodejaneiro,40
riodejaneiro,36
riodejaneiro,37
riodejaneiro,39
riodejaneiro,36
riodejaneiro,35
riodejaneiro,35
riodejaneiro,43
riodejaneiro,37
riodejaneiro,37
riodejaneiro,42
riodejaneiro,39
riodejaneiro,39
riodejaneiro,36
riodejaneiro,33
riodejaneiro,36
riodejaneiro,37
riodejaneiro,42
riodejaneiro,43
riodejaneiro,37
riodejaneiro,35
riodejaneiro,36
riodejaneiro,40
riodejaneiro,36
riodejaneiro,41
riodejaneiro,39
riodejaneiro,36
riodejaneiro,45
riodejaneiro,36
riodejaneiro,40
riodejaneiro,38
riodejaneiro,37
riodejaneiro,33
riodejaneiro,33
riodejaneiro,39
riodejaneiro,33
riodejaneiro,43
riodejaneiro,34
riodejaneiro,39
riodejaneiro,35
riodejaneiro,36
riodejaneiro,33
riodejaneiro,36
riodejaneiro,41
riodejaneiro,37
riodejaneiro,44
riodejaneiro,38
riodejaneiro,37
riodejaneiro,39
riodejaneiro,33
riodejaneiro,50
riodejaneiro,40
riodejaneiro,37
riodejaneiro,35
riodejaneiro,35
riodejaneiro,40
riodejaneiro,40
riodejaneiro,34
riodejaneiro,46
riodejaneiro,42
riodejaneiro,43
riodejaneiro,35
riodejaneiro,35
riodejaneiro,41
riodejaneiro,40
riodejaneiro,37
riodejaneiro,37
riodejaneiro,42
riodejaneiro,32
riodejaneiro,35
riodejaneiro,34
riodejaneiro,33
riodejaneiro,32
riodejaneiro,41
riodejaneiro,38
riodejaneiro,39
riodejaneiro,41
riodejaneiro,37
riodejaneiro,38
riodejaneiro,37
riodejaneiro,44
riodejaneiro,39
riodejaneiro,47
riodejaneiro,37
riodejaneiro,37
riodejaneiro,41
riodejaneiro,35
riodejaneiro,34
riodejaneiro,48
riodejaneiro,40
riodejaneiro,38
riodejaneiro,37
riodejaneiro,41
riodejaneiro,39
riodejaneiro,31
riodejaneiro,40
riodejaneiro,36
riodejaneiro,46
riodejaneiro,40
riodejaneiro,36
riodejaneiro,34
riodejaneiro,43
riodejaneiro,37
riodejaneiro,32
riodejaneiro,37
riodejaneiro,41
riodejaneiro,46
riodejaneiro,36
riodejaneiro,45
riodejaneiro,42
riodejaneiro,34
riodejaneiro,36
riodejaneiro,44
riodejaneiro,35
riodejaneiro,38
riodejaneiro,38
riodejaneiro,38
riodejaneiro,43
